md5,sha1,file_extension,EntryPoint,PEType,MachineType,magic_number,bytes_on_last_page,pages_in_file,relocations,size_of_header,min_extra_paragraphs,max_extra_paragraphs,init_ss_value,init_sp_value,init_ip_value,init_cs_value,over_lay_number,oem_identifier,address_of_ne_header,Magic,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,OperatingSystemVersion,ImageVersion,SizeOfImage,SizeOfHeaders,Checksum,Subsystem,DllCharacteristics,SizeofStackReserve,SizeofStackCommit,SizeofHeapCommit,SizeofHeapReserve,LoaderFlags,text_VirtualSize,text_VirtualAddress,text_SizeOfRawData,text_PointerToRawData,text_PointerToRelocations,text_PointerToLineNumbers,text_Characteristics,rdata_VirtualSize,rdata_VirtualAddress,rdata_SizeOfRawData,rdata_PointerToRawData,rdata_PointerToRelocations,rdata_PointerToLineNumbers,rdata_Characteristics,registry_read,registry_write,registry_delete,registry_total,network_threats,network_dns,network_http,network_connections,processes_malicious,processes_suspicious,processes_monitored,total_procsses,files_malicious,files_suspicious,files_text,files_unknown,dlls_calls,apis,Class,Category,Family
d5aa2b2506dd71b65307bb551a6a099d,62f4d55a1bb8396e493d7815dc44febed7161535,exe,0x108ec,PE32+,AMD AMD64,MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x000000F8,PE32+,0x00011200,0x0000D200,0x00000000,0x00000000000108EC (Section: .text),0x00001000,0x00004000,0x0000000140000000,0x00001000,0x00000200,5.2,0.0,0x00022000,0x00000400,0x0001E8D0,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x0000000000100000,0x0000000000001000,0x0000000000001000,0x0000000000100000,0x00000000,0x000111FE,0x00001000,0x00011200,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00007B14,0x00013000,0x00007C00,0x00011600,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,162.0,Benign,Benign,Benign
8d1178cec97f96a9ede3efe2f30ef30e,ca40945a4e35d48794a5e13aacf16b8ae1caddeb,exe,0x25cf9c,PE32+,AMD AMD64,MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000118,PE32+,0x0035D200,0x00192400,0x00000000,0x000000000025CF9C (Section: .text),0x00001000,0x00004000,0x0000000140000000,0x00001000,0x00000200,5.2,0.0,0x00515000,0x00000400,0x004F623F,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x0000000000100000,0x0000000000001000,0x0000000000001000,0x0000000000100000,0x00000000,0x0035D14C,0x00001000,0x0035D200,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0012F786,0x0035F000,0x0012F800,0x0035D600,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",5.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,93.0,0.0,0.0,0.0,0.0,22.0,778.0,Benign,Benign,Benign
c08d7afb7966f452cf5aa9283fe8880a,6f47b50480bea61ae4dfb75c12582990cc5ce770,exe,0x2a7e,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,0x00000C00,0x00000800,0x00000000,0x00002A7E (Section: .text),0x00002000,0x00004000,0x00400000,0x00002000,0x00000200,4.0,0.0,0x00008000,0x00000200,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00000A84,0x00002000,0x00000C00,0x00000200,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0012F786,0x0035F000,0x0012F800,0x0035D600,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",58.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,Benign,Benign,Benign
3554a3a99e7ffb57552aedcb2520f1d2,8c3d5b506a8d55f42f4c83ead3e4341255d1acfc,exe,0x64ca0,PE32+,AMD AMD64,MZ,0x0090,0x0003,0x0004,0x0000,0x0000,0xFFFF,0x0000,0x008B,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32+,0x00222E00,0x00050A00,0x00000000,0x0000000000064CA0 (Section: .text),0x00001000,0x00004000,0x0000000000400000,0x00001000,0x00000200,6.1,1.0,0x006DA000,0x00000600,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_CUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x0000000000200000,0x0000000000001000,0x0000000000001000,0x0000000000100000,0x00000000,0x00222D7D,0x00001000,0x00222E00,0x00000600,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x002148A0,0x00224000,0x00214A00,0x00223400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,Benign,Benign,Benign
5be9511d42136df49d9501680e84109f,0a7d0c68c591db2f197b2169d226bebe6e9bdabe,exe,0x1b9ae,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,0x00019A00,0x00000A00,0x00000000,0x0001B9AE (Section: .text),0x00002000,0x00000000,0x00400000,0x00002000,0x00000200,4.0,0.0,0x00020000,0x00000200,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x000199B4,0x00002000,0x00019A00,0x00000200,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00004BF8,0x0001E000,0x00005000,0x0001E000,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",253.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,Benign,Benign,Benign
d537acb8f56a1ce206bc35cf8ff959c0,0bb491f62b77df737801b9ab0fd14fa12d43d254,exe,0x0208,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x000000B0,PE32,0x00000200,0x00001800,0x00000000,0x00000208 (Section: .text),0x00000200,0x00000400,0x00400000,0x00000200,0x00000200,4.0,4.0,0x00001C00,0x00000200,0x000084E6,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00000068,0x00000200,0x00000200,0x00000200,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00004BF8,0x0001E000,0x00005000,0x0001E000,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,Benign,Benign,Benign
8a40b88f514ef21f74052d22e2d98750,524e636f22bb8a5c2f7947727d5f91dd3dd05972,exe,0x36000,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,0x00028800,0x0000AE00,0x00000000,0x00036000 (Section: .text),0x00036000,0x0002A000,0x00400000,0x00001000,0x00000200,4.0,0.0,0x00037000,0x00000400,0x00037D22,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00000400,0x00036000,0x00000400,0x00032E00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0000675C,0x0002A000,0x00006800,0x00028C00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,15.0,206.0,Benign,Benign,Benign
492c895eef1bbf512d2a62953c6dc490,b10ffab94d90d85bfb94acb86cfce7368d0df3e3,exe,0x9fb4,PE32,"Intel 386 or later, and compatibles",MZ,0x0080,0x0001,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000070,PE32,0x00011800,0x00004600,0x00002400,0x00009FB4 (Section: AUTO),0x00001000,0x00013000,0x00400000,0x00001000,0x00000200,1.B,0.0,0x0001F000,0x00000400,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00010000,0x00010000,0x00001000,0x00002000,0x00000000,0x00000400,0x00036000,0x00000400,0x00032E00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0000675C,0x0002A000,0x00006800,0x00028C00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign,Benign
b36ae3f1cbd1e4d8df6d5c5e7268bc91,4ed46940b19333be5a8590dc369a2bdb501382ff,exe,0x57c2,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000100,PE32,0x00010600,0x00009C00,0x00000000,0x000057C2 (Section: .text),0x00001000,0x00012000,0x00400000,0x00001000,0x00000200,6.0,0.0,0x0001F000,0x00000400,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_CUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x0001056A,0x00001000,0x00010600,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x000060EA,0x00012000,0x00006200,0x00010A00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",244.0,0.0,0.0,244.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,35.0,0.0,0.0,0.0,0.0,6.0,117.0,Benign,Benign,Benign
b8e27c15d3f05a66ab6dd2db000ae059,6667bcec444718db2568d6642f8a495c05d95ae7,exe,0x1242,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000118,PE32,0x0000A600,0x00091E00,0x00000000,0x00001242 (Section: .text),0x00001000,0x0000C000,0x00400000,0x00001000,0x00000200,6.0,0.0,0x000A1000,0x00000400,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x0000A467,0x00001000,0x0000A600,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0000578E,0x0000C000,0x00005800,0x0000AA00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,2.0,64.0,Benign,Benign,Benign
7f01c29f7833f03c556620f868b0eb13,1f764df0a3913b655b38a8c76fe416b367f395ee,exe,0x419ad0,PE32+,AMD AMD64,MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32+,0x0011F000,0x00011000,0x002FA000,0x0000000000419AD0 (Section: UPX1),0x002FB000,0x0000C000,0x0000000000400000,0x00001000,0x00000200,6.1,0.0,0x0042B000,0x00001000,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_CUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x0000000000200000,0x0000000000001000,0x0000000000001000,0x0000000000100000,0x00000000,0x0000A467,0x00001000,0x0000A600,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0000578E,0x0000C000,0x00005800,0x0000AA00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,Benign,Benign,Benign
5e53b40cf972f4eb08990999ce17c5c8,ca5d95f3be661dbcabe52d477ad78f19b832c532,exe,0x2800a,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000110,PE32,0x0008E000,0x00045800,0x00000000,0x0002800A (Section: .text),0x00001000,0x0008F000,0x00400000,0x00001000,0x00000200,5.1,0.0,0x000DA000,0x00000400,0x000D9C3F,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00400000,0x00001000,0x00001000,0x00400000,0x00000000,0x0008DFDD,0x00001000,0x0008E000,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0002FD8E,0x0008F000,0x0002FE00,0x0008E400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",295.0,13.0,0.0,308.0,0.0,4.0,1.0,3.0,0.0,0.0,1.0,38.0,0.0,0.0,0.0,0.0,18.0,527.0,Benign,Benign,Benign
743bea93cf7e254a0a66867cb64f2e1d,8d8d2e104fbb846836d825cddc1180bc58a66db4,exe,0x5c9e,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,0x00003E00,0x00000600,0x00000000,0x00005C9E (Section: Team SnD\xa4<),0x00002000,0x00000000,0x00400000,0x00002000,0x00000200,4.0,0.0,0x0000A000,0x00000200,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x0008DFDD,0x00001000,0x0008E000,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0002FD8E,0x0008F000,0x0002FE00,0x0008E400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",142.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,1.0,Benign,Benign,Benign
db427ed458e5da02ef41535256f12504,0a2f152cd2bc454039e84a95539ad8fcd883748a,exe,0xd6b9,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x000000E8,PE32,0x0005B800,0x0003D200,0x00000000,0x0000D6B9 (Section: .text),0x00001000,0x0005D000,0x01000000,0x00001000,0x00000200,5.1,5.1,0x0009B000,0x00000400,0x000A0A34,IMAGE_SUBSYSTEM_NATIVE,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00040000,0x00001000,0x00001000,0x00100000,0x00000000,0x0005B762,0x00001000,0x0005B800,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0002FD8E,0x0008F000,0x0002FE00,0x0008E400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign,Benign
639fe0ae9b405d7d0edc999af26b9ae1,88a141f79709d69fc5c69e1be9f624d0e1ca0db6,exe,0x1fbc30,PE32+,AMD AMD64,MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000128,PE32+,0x00209800,0x00174000,0x00000000,0x00000000001FBC30 (Section: .text),0x00001000,0x0005D000,0x0000000140000000,0x00001000,0x00000200,6.0,0.0,0x00383000,0x00000400,0x0037F319,IMAGE_SUBSYSTEM_WINDOWS_CUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x0000000000100000,0x0000000000001000,0x0000000000001000,0x0000000000100000,0x00000000,0x0020974C,0x00001000,0x00209800,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x000DC5AA,0x0020B000,0x000DC600,0x00209C00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,436.0,Benign,Benign,Benign
f2d5e887bb4e3e88684c2a4039f368d5,b76a264b7aa5c98173c788c32e88654fb25af718,exe,0x12cb,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000110,PE32,0x00004000,0x00003E00,0x00000000,0x000012CB (Section: .text),0x00001000,0x00005000,0x00400000,0x00001000,0x00000200,6.0,0.0,0x0000C000,0x00000400,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_CUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00003ED6,0x00001000,0x00004000,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0000154E,0x00005000,0x00001600,0x00004400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,13.0,87.0,Benign,Benign,Benign
438862a077e46a0462c776b6d2c1bbe5,04e54eb9b199f94e4ad1c10ce1de84825caedf7c,exe,0x4261be,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,0x00424200,0x00024000,0x00000000,0x004261BE (Section: .text),0x00002000,0x00000000,0x00400000,0x00002000,0x00000200,4.0,0.0,0x0044E000,0x00000200,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x004241C4,0x00002000,0x00424200,0x00000200,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0000154E,0x00005000,0x00001600,0x00004400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",499.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,0.0,0.0,0.0,0.0,1.0,1.0,Benign,Benign,Benign
